MT072688_1	Nepal
SARS-CoV-2_USA_AZ-ASU2922_2020_EPI_ISL_424668	USA
hCoV-10_Canada_AB5_2020_EPI_ISL_435347_2020-04	Canada
hCoV-10_Switzerland_GE1736_2020_EPI_ISL_429203	Switzerland
hCoV-10_Switzerland_GE6414_2020_EPI_ISL_429217	Switzerland
hCoV-19_Algeria_G0638_2264_2020_EPI_ISL_418241	Algeria
hCoV-19_Algeria_G0640_2265_2020_EPI_ISL_418242	Algeria
hCoV-19_Algeria_G0860_2262_2020_EPI_ISL_420037	Algeria
hCoV-19_Anhui_SZ005_2020_EPI_ISL_413485	China
hCoV-19_Argentina_C121_2020_EPI_ISL_420600	Argentina
hCoV-19_Argentina_C1374_2020_EPI_ISL_420599	Argentina
hCoV-19_Argentina_C3013_2020_EPI_ISL_420598	Argentina
hCoV-19_Argentina_PAIS_A001_2020_EPI_ISL_430793	Argentina
hCoV-19_Argentina_PAIS_A002_2020_EPI_ISL_430794	Argentina
hCoV-19_Argentina_PAIS_A003_2020_EPI_ISL_430795	Argentina
hCoV-19_Argentina_PAIS_A004_2020_EPI_ISL_430796	Argentina
hCoV-19_Argentina_PAIS_A005_2020_EPI_ISL_430797	Argentina
hCoV-19_Argentina_PAIS_A006_2020_EPI_ISL_430798	Argentina
hCoV-19_Argentina_PAIS_A007_2020_EPI_ISL_430799	Argentina
hCoV-19_Argentina_PAIS_A008_2020_EPI_ISL_430800	Argentina
hCoV-19_Argentina_PAIS_A009_2020_EPI_ISL_430801	Argentina
hCoV-19_Argentina_PAIS_A011_2020_EPI_ISL_430802	Argentina
hCoV-19_Argentina_PAIS_A012_2020_EPI_ISL_430803	Argentina
hCoV-19_Argentina_PAIS_A013_2020_EPI_ISL_430804	Argentina
hCoV-19_Argentina_PAIS_A014_2020_EPI_ISL_430805	Argentina
hCoV-19_Argentina_PAIS_A015_2020_EPI_ISL_430806	Argentina
hCoV-19_Argentina_PAIS_A016_2020_EPI_ISL_430807	Argentina
