SequenceName	ClusterNumber
hCoV_19_Peru_01_2020_EPI_ISL_416025	-1
hCoV_19_USA_CA_CDPH_UC28_2020_EPI_ISL_417332	-1
hCoV_19_USA_WA_UW119_2020_EPI_ISL_416657	-1
BetaCoV_Shenzhen_SZTH_004_2020_EPI_ISL_406595	-1
BetaCoV_Beijing_IVDC_BJ_005_2020_EPI_ISL_408485	-1
hCoV_19_Spain_Valencia9_2020_EPI_ISL_417205	-1
hCoV_19_Malaysia_MKAK_CL_2020_5049_2020_EPI_ISL_416884	-1
BetaCoV_South_Korea_SNU01_2020_EPI_ISL_411929	-1
hCoV_19_USA_CA_CDPH_UC23_2020_EPI_ISL_417327	-1
hCoV_19_Hong_Kong_case49_VM20002508_2020_EPI_ISL_414567	-1
hCoV_19_China_Shanghai_SH0071_EPI_ISL_416374	-1
hCoV_19_England_20109038906_2020_EPI_ISL_417261	-1
BetaCoV_Finland_FIN_25_2020_EPI_ISL_412971	-1
hCoV_19_HongKong_CUHK2_2020_EPI_ISL_416315	-1
hCoV_19_China_Shanghai_SH0052_EPI_ISL_416360	-1
hCoV_19_China_Shanghai_SH0104_EPI_ISL_416395	-1
hCoV_19_USA_WA_UW132_2020_EPI_ISL_416670	-1
hCoV_19_Guangdong_ZH_S33_P0058_2020_EPI_ISL_413898	-1
hCoV_19_China_DG_S9_P0045_2020_EPI_ISL_413868	-1
hCoV_19_Australia_VIC12_2020_EPI_ISL_416518	-1
hCoV_19_China_Shanghai_SH0036_EPI_ISL_416345	-1
hCoV_19_Netherlands_ZuidHolland_16_2020_EPI_ISL_414558	-1
hCoV_19_England_20109094506_2020_EPI_ISL_417292	-1
hCoV_19_NewZealand_CoV002_2020_EPI_ISL_417212	-1
BetaCoV_Tianmen_HBCDC_HB_07_2020_EPI_ISL_412983	-1
hCoV_19_Belgium_BA_02291_2020_EPI_ISL_415159	-1
BetaCoV_USA_WA3_UW1_2020_EPI_ISL_413025	-1
BetaCoV_Sweden_01_2020_EPI_ISL_411951	-1
BetaCoV_Wuhan_IPBCAMS_WH_02_2019_EPI_ISL_403931	-1
hCoV_19_USA_WA_UW21_2020_EPI_ISL_414369	-1
hCoV_19_Guangdong_ZQ_S2_P0061_2020_EPI_ISL_413901	-1
hCoV_19_China_Shanghai_SH0081_EPI_ISL_416383	-1
hCoV_19_USA_WA_UW230_2020_EPI_ISL_417379	-1
hCoV_19_Guangdong_GD2020012_P0022_2020_EPI_ISL_413886	-1
hCoV_19_Canada_BC_25211_2020_EPI_ISL_415579	-1
hCoV_19_Australia_NSW53_2020_EPI_ISL_417406	-1
hCoV_19_USA_WA_UW45_2020_EPI_ISL_415610	-1
hCoV_19_China_Shanghai_SH0106_EPI_ISL_416396	-1
hCoV_19_China_Shanghai_SH0066_EPI_ISL_416369	-1
hCoV_19_USA_WA_UW156_2020_EPI_ISL_416694	-1
hCoV_19_China_Shanghai_SH0080_EPI_ISL_416382	-1
hCoV_19_Belgium_VLM_03011_2020_EPI_ISL_415153	-1
hCoV_19_Belgium_MTR_03026_2020_EPI_ISL_416476	-1
hCoV_19_Belgium_MTR_03021_2020_EPI_ISL_416467	-1
hCov_19_Netherlands_NoordBrabant_60_2020_EPI_ISL_415516	-1
hCoV_19_Hangzhou_ZJU_07_2020_EPI_ISL_416425	-1
hCoV_19_England_20109093606_2020_EPI_ISL_417285	-1
BetaCoV_Jingzhou_HBCDC_HB_01_2020_EPI_ISL_412459	-1
hCoV_19_USA_WA_UW210_2020_EPI_ISL_417359	-1
hCoV_19_Spain_Valencia6_2020_EPI_ISL_416485	1
hCoV_19_Spain_Valencia10_2020_EPI_ISL_417206	1
hCoV_19_Spain_CastillayLeon201437_2020_EPI_ISL_416994	1
hCoV_19_Georgia_Tb_390_2020_EPI_ISL_416477	1
hCoV_19_France_GE1583_2020_EPI_ISL_414623	1
hCoV_19_France_GE1583_2020_EPI_ISL_414600	1
hCoV_19_USA_NY2_PV08100_2020_EPI_ISL_415151	1
hCoV_19_Spain_Valencia8_2020_EPI_ISL_416487	1
hCoV_19_Spain_Valencia5_2020_EPI_ISL_416484	1
hCoV_19_Spain_Valencia4_2020_EPI_ISL_416483	1
hCoV_19_Chile_Santiago_op4d1_2020_EPI_ISL_415661	1
hCoV_19_Chile_Santiago_op3d1_2020_EPI_ISL_415660	1
hCoV_19_Chile_Santiago_op2d1_2020_EPI_ISL_415658	1
hCoV_19_Chile_Santiago_1_2020_EPI_ISL_414579	1
hCoV_19_Brazil_AMBR_02_2020_EPI_ISL_417034	1
hCov_19_Netherlands_NoordBrabant_46_2020_EPI_ISL_415503	-1
hCoV_19_Guangdong_SZ_N128_P0057_2020_EPI_ISL_413897	-1
hCoV_19_China_Shanghai_SH0085_EPI_ISL_416385	-1
